TextFix;TextLink;GroupName;GroupNum;NumberMain;NumberVar;CouplingOnly;TextCoupling
PR 35.1 (3-\underline{\`R}{\`R}{\'R}{\'R}{\`R});PR\,\ref{restabrow:P3RRRRR10}.\ref{restabrow:P3RRRRR10GxPxA1};P3RRRRR10G;27;35;1;r-r;3-\underline{R}{R}{R}{R}{R}, r-r
PR 35.5 (3-\underline{R}{U}{U});PR\,\ref{restabrow:P3RRRRR10}.\ref{restabrow:P3RRRRR10V1GxPxA1};P3RRRRR10V1G;28;35;5;r-r;3-\underline{R}{U}{U}, r-r
PR 35.6 (3-\underline{R}{R}{R}{U});PR\,\ref{restabrow:P3RRRRR10}.\ref{restabrow:P3RRRRR10V2GxPxA1};P3RRRRR10V2G;29;35;6;r-r;3-\underline{R}{R}{R}{U}, r-r
PR 36.1 (3-\underline{\`R}{\`R}{\`R}{\'R}{\'R});PR\,\ref{restabrow:P3RRRRR5}.\ref{restabrow:P3RRRRR5GxPxA1};P3RRRRR5G;30;36;1;c-t;3-\underline{R}{R}{R}{R}{R}, c-t
PR 36.5 (3-\underline{R}{R}{U}{R});PR\,\ref{restabrow:P3RRRRR5}.\ref{restabrow:P3RRRRR5V1GxPxA1};P3RRRRR5V1G;31;36;5;r-t;3-\underline{R}{R}{U}{R}, r-t
PR 37.1 (3-\underline{\`R}{\`R}{\'R}{\'R}{\'R});PR\,\ref{restabrow:P3RRRRR6}.\ref{restabrow:P3RRRRR6GxPxA1};P3RRRRR6G;32;37;1;t-c;3-\underline{R}{R}{R}{R}{R}, t-c
PR 37.5 (3-\underline{R}{U}{R}{R});PR\,\ref{restabrow:P3RRRRR6}.\ref{restabrow:P3RRRRR6V1GxPxA1};P3RRRRR6V1G;33;37;5;t-c;3-\underline{R}{U}{R}{R}, t-c
PR 38.1 (3-\underline{\`R}{\'R}{\'R}{\'R}{\`R});PR\,\ref{restabrow:P3RRRRR7}.\ref{restabrow:P3RRRRR7GxPxA1};P3RRRRR7G;34;38;1;t-t;3-\underline{R}{R}{R}{R}{R}, t-t
PR 38.6 (3-\underline{R}{R}{R}{U});PR\,\ref{restabrow:P3RRRRR7}.\ref{restabrow:P3RRRRR7V2GxPxA1};P3RRRRR7V2G;35;38;6;t-t;3-\underline{R}{R}{R}{U}, t-t
PR 39.1 (3-\underline{\`R}{\'R}{\'R}{\`R}{\`R});PR\,\ref{restabrow:P3RRRRR8}.\ref{restabrow:P3RRRRR8GxPxA1};P3RRRRR8G;36;39;1;r-r;3-\underline{R}{R}{R}{R}{R}, r-r
PR 39.5 (3-\underline{R}{R}{U}{R});PR\,\ref{restabrow:P3RRRRR8}.\ref{restabrow:P3RRRRR8V2GxPxA1};P3RRRRR8V2G;37;39;5;r-r;3-\underline{R}{R}{U}{R}, r-r
PR 35.1 (4-\underline{\`R}{\`R}{\'R}{\'R}{\`R});PR\,\ref{restabrow:P4RRRRR10}.\ref{restabrow:P4RRRRR10GxPxA1};P4RRRRR10G;43;35;1;v-v;4-\underline{R}{R}{R}{R}{R}, v-v
PR 35.5 (4-\underline{R}{U}{U});PR\,\ref{restabrow:P4RRRRR10}.\ref{restabrow:P4RRRRR10V1GxPxA1};P4RRRRR10V1G;44;35;5;v-v;4-\underline{R}{U}{U}, v-v
PR 35.6 (4-\underline{R}{R}{R}{U});PR\,\ref{restabrow:P4RRRRR10}.\ref{restabrow:P4RRRRR10V2GxPxA1};P4RRRRR10V2G;45;35;6;v-v;4-\underline{R}{R}{R}{U}, v-v
PR 36.1 (4-\underline{\`R}{\`R}{\`R}{\'R}{\'R});PR\,\ref{restabrow:P4RRRRR5}.\ref{restabrow:P4RRRRR5GxPxA1};P4RRRRR5G;46;36;1;r-v;4-\underline{R}{R}{R}{R}{R}, r-v
PR 36.5 (4-\underline{R}{R}{U}{R});PR\,\ref{restabrow:P4RRRRR5}.\ref{restabrow:P4RRRRR5V1GxPxA1};P4RRRRR5V1G;47;36;5;t-v;4-\underline{R}{R}{U}{R}, t-v
PR 39.1 (4-\underline{\`R}{\'R}{\'R}{\`R}{\`R});PR\,\ref{restabrow:P4RRRRR8}.\ref{restabrow:P4RRRRR8GxPxA1};P4RRRRR8G;48;39;1;v-v;4-\underline{R}{R}{R}{R}{R}, v-v
PR 39.5 (4-\underline{R}{R}{U}{R});PR\,\ref{restabrow:P4RRRRR8}.\ref{restabrow:P4RRRRR8V2GxPxA1};P4RRRRR8V2G;49;39;5;v-v;4-\underline{R}{R}{U}{R}, v-v
