TextFix;TextLink;GroupName;GroupNum;NumberMain;NumberVar;CouplingOnly;TextCoupling
PR 4.2 (6-\underline{P}{R}{U}{U});PR\,\ref{restabrow:P6PRRRRR4}.\ref{restabrow:P6PRRRRR4V2GxPxA1};P6PRRRRR4V2G;1;4;2;C-R;6-\underline{P}{R}{U}{U}, C-R
PR 4.3 (6-\underline{P}{R}{R}{R}{U});PR\,\ref{restabrow:P6PRRRRR4}.\ref{restabrow:P6PRRRRR4V3GxPxA1};P6PRRRRR4V3G;2;4;3;V-R;6-\underline{P}{R}{R}{R}{U}, V-R
PR 6.1 (6-\underline{P}{R}{R}{R}{R}{R});PR\,\ref{restabrow:P6PRRRRR6}.\ref{restabrow:P6PRRRRR6GxPxA1};P6PRRRRR6G;3;6;1;C-T;6-\underline{P}{R}{R}{R}{R}{R}, C-T
PR 6.2 (6-\underline{P}{R}{R}{S});PR\,\ref{restabrow:P6PRRRRR6}.\ref{restabrow:P6PRRRRR6V2GxPxA1};P6PRRRRR6V2G;4;6;2;V-V;6-\underline{P}{R}{R}{S}, V-V
PR 6.3 (6-\underline{P}{U}{S});PR\,\ref{restabrow:P6PRRRRR6}.\ref{restabrow:P6PRRRRR6V4GxPxA1};P6PRRRRR6V4G;5;6;3;V-V;6-\underline{P}{U}{S}, V-V
PR 13.5 (6-{R}\underline{P}{U}{U});PR\,\ref{restabrow:P6RPRRRR10}.\ref{restabrow:P6RPRRRR10V5GxPxA2};P6RPRRRR10V5G;6;13;5;R-R;6-{R}\underline{P}{U}{U}, R-R
PR 13.6 (6-{R}\underline{P}{R}{R}{U});PR\,\ref{restabrow:P6RPRRRR10}.\ref{restabrow:P6RPRRRR10V6GxPxA2};P6RPRRRR10V6G;7;13;6;C-R;6-{R}\underline{P}{R}{R}{U}, C-R
PR 15.3 (6-{R}\underline{P}{R}{R}{R}{R});PR\,\ref{restabrow:P6RPRRRR12}.\ref{restabrow:P6RPRRRR12V4GxPxA2};P6RPRRRR12V4G;8;15;3;C-c;6-{R}\underline{P}{R}{R}{R}{R}, C-c
PR 15.4 (6-{R}\underline{P}{R}{S});PR\,\ref{restabrow:P6RPRRRR12}.\ref{restabrow:P6RPRRRR12V5GxPxA2};P6RPRRRR12V5G;9;15;4;C-V;6-{R}\underline{P}{R}{S}, C-V
PR 24.4 (6-{R}{R}\underline{P}{R}{U});PR\,\ref{restabrow:P6RRPRRR12}.\ref{restabrow:P6RRPRRR12V4GxPxA3};P6RRPRRR12V4G;10;24;4;V-T;6-{R}{R}\underline{P}{R}{U}, V-T
PR 24.5 (6-{U}\underline{P}{R}{U});PR\,\ref{restabrow:P6RRPRRR12}.\ref{restabrow:P6RRPRRR12V5GxPxA3};P6RRPRRR12V5G;11;24;5;C-T;6-{U}\underline{P}{R}{U}, C-T
PR 24.6 (6-{R}{R}\underline{P}{\`R}{\`R}{R});PR\,\ref{restabrow:P6RRPRRR12}.\ref{restabrow:P6RRPRRR12V6GxPxA3};P6RRPRRR12V6G;12;24;6;V-T;6-{R}{R}\underline{P}{R}{R}{R}, V-T
PR 26.4 (6-{R}{R}\underline{P}{S});PR\,\ref{restabrow:P6RRPRRR14}.\ref{restabrow:P6RRPRRR14V5GxPxA3};P6RRPRRR14V5G;13;26;4;T-v;6-{R}{R}\underline{P}{S}, T-v
PR 26.5 (6-{U}\underline{P}{S});PR\,\ref{restabrow:P6RRPRRR14}.\ref{restabrow:P6RRPRRR14V6GxPxA3};P6RRPRRR14V6G;14;26;5;T-V;6-{U}\underline{P}{S}, T-V
