RobotName_Diss;NumberMain;NumberVar
P3PRRR1GxPxA1;1;1
P3PRRRR10GxPxA1;8;1
P3PRRRR3GxPxA1;2;1
P3PRRRR3V1GxPxA1;2;2
P3PRRRR4GxPxA1;3;1
P3PRRRR4V1GxPxA1;3;2
P3PRRRR6GxPxA1;4;1
P3PRRRR6V1GxPxA1;4;2
P3PRRRR7GxPxA1;5;1
P3PRRRR7V1GxPxA1;5;2
P3PRRRR8GxPxA1;6;1
P3PRRRR8V1GxPxA1;6;2
P3PRRRR8V2GxPxA1;6;3
P3PRRRR9GxPxA1;7;1
P3RPRR1GxPxA2;9;1
P3RPRRR12GxPxA2;15;1
P3RPRRR12V1GxPxA2;15;2
P3RPRRR12V2GxPxA2;15;3
P3RPRRR12V3GxPxA2;15;4
P3RPRRR14GxPxA2;16;1
P3RPRRR2GxPxA2;10;1
P3RPRRR2V1GxPxA2;10;2
P3RPRRR6GxPxA2;11;1
P3RPRRR6V1GxPxA2;11;2
P3RPRRR6V2GxPxA2;11;3
P3RPRRR6V3GxPxA2;11;4
P3RPRRR7GxPxA2;12;1
P3RPRRR7V1GxPxA2;12;2
P3RPRRR7V3GxPxA2;12;3
P3RPRRR8GxPxA2;13;1
P3RPRRR8V1GxPxA2;13;2
P3RPRRR8V2GxPxA2;13;3
P3RPRRR8V3GxPxA2;13;4
P3RPRRR9GxPxA2;14;1
P3RPRRR9V1GxPxA2;14;2
P3RPRRR9V2GxPxA2;14;3
P3RPRRR9V3GxPxA2;14;4
P3RRPR1GxPxA3;17;1
P3RRPRR10GxPxA3;23;1
P3RRPRR10V1GxPxA3;23;2
P3RRPRR10V5GxPxA3;23;3
P3RRPRR12GxPxA3;24;1
P3RRPRR12V1GxPxA3;24;2
P3RRPRR12V2GxPxA3;24;3
P3RRPRR12V3GxPxA3;24;4
P3RRPRR12V4GxPxA3;24;5
P3RRPRR12V5GxPxA3;24;6
P3RRPRR13GxPxA3;25;1
P3RRPRR13V1GxPxA3;25;2
P3RRPRR13V3GxPxA3;25;3
P3RRPRR2GxPxA3;18;1
P3RRPRR2V1GxPxA3;18;2
P3RRPRR4GxPxA3;19;1
P3RRPRR4V1GxPxA3;19;2
P3RRPRR5GxPxA3;20;1
P3RRPRR5V1GxPxA3;20;2
P3RRPRR7GxPxA3;21;1
P3RRPRR8GxPxA3;22;1
P3RRPRR8V1GxPxA3;22;2
P3RRPRR8V2GxPxA3;22;3
P3RRRPR12GxPxA4;33;1
P3RRRPR12V1GxPxA4;33;2
P3RRRPR12V4GxPxA4;33;3
P3RRRPR1GxPxA4;26;1
P3RRRPR1V1GxPxA4;26;2
P3RRRPR2GxPxA4;27;1
P3RRRPR2V1GxPxA4;27;2
P3RRRPR4GxPxA4;28;1
P3RRRPR4V1GxPxA4;28;2
P3RRRPR4V2GxPxA4;28;3
P3RRRPR4V3GxPxA4;28;4
P3RRRPR5GxPxA4;29;1
P3RRRPR5V1GxPxA4;29;2
P3RRRPR5V2GxPxA4;29;3
P3RRRPR5V3GxPxA4;29;4
P3RRRPR7GxPxA4;30;1
P3RRRPR7V1GxPxA4;30;2
P3RRRPR7V2GxPxA4;30;3
P3RRRPR7V3GxPxA4;30;4
P3RRRPR8GxPxA4;31;1
P3RRRPR8V1GxPxA4;31;2
P3RRRPR8V2GxPxA4;31;3
P3RRRPR8V3GxPxA4;31;4
P3RRRPR9GxPxA4;32;1
P3RRRRR10GxPxA1;38;1
P3RRRRR10GxPxA2;38;2
P3RRRRR10GxPxA3;38;3
P3RRRRR10GxPxA4;38;4
P3RRRRR10V1GxPxA1;38;5
P3RRRRR10V2GxPxA1;38;6
P3RRRRR10V2GxPxA2;38;7
P3RRRRR10V2GxPxA3;38;8
P3RRRRR5GxPxA1;34;1
P3RRRRR5GxPxA2;34;2
P3RRRRR5GxPxA3;34;3
P3RRRRR5GxPxA4;34;4
P3RRRRR5V1GxPxA1;34;5
P3RRRRR5V1GxPxA2;34;6
P3RRRRR6GxPxA1;35;1
P3RRRRR6GxPxA2;35;2
P3RRRRR6GxPxA3;35;3
P3RRRRR6GxPxA4;35;4
P3RRRRR6V1GxPxA1;35;5
P3RRRRR6V1GxPxA4;35;6
P3RRRRR7GxPxA1;36;1
P3RRRRR7GxPxA2;36;2
P3RRRRR7GxPxA3;36;3
P3RRRRR7GxPxA4;36;4
P3RRRRR7V1GxPxA3;36;5
P3RRRRR7V2GxPxA1;36;6
P3RRRRR7V2GxPxA2;36;7
P3RRRRR7V2GxPxA3;36;8
P3RRRRR8GxPxA1;37;1
P3RRRRR8GxPxA2;37;2
P3RRRRR8GxPxA3;37;3
P3RRRRR8GxPxA4;37;4
P3RRRRR8V2GxPxA1;37;5
P3RRRRR8V2GxPxA2;37;6
